species	state
Didierea_madagascariensis	0
Alluaudiopsis_fiherenensis	0
Calyptrotheca_somalensis	0
Portulacaria_afra	0
Anredera_brachystachys	0
Ullucus_tuberosus	0
Basella_alba	0
Halophytum_ameghinoi	0
Claytonia_perfoliata	0
Montia_diffusa	0
Lewisia_cantelovii	0
Hectorella_caespitosa	0
Calandrinia_ciliata	0
Cistanthe_mucronulata	0
Philippiamra_densiflora	0
Lewisiopsis_tweedyi	0
Montiopsis_trifida	0
Calyptridium_monandrum	0
Phemeranthus_spinescens	0
Pharnaceum_subtile	0
Coelanthum_semiquinquefidum	0
Mollugo_disticha	0
Suessenguthiella_scleranthoides	0
Adenogramma_teretifolia	0
Psammotropha_obovata	0
Polpoda_capensis	0
Hypertelis_spergulacea	0
Paramollugo_angustifolia	0
Glinus_oppositifolius	0
Trigastrotheca_pentaphylla	0
Oscularia_falciformis	0
Ruschiella_argentea	0
Amphibolia_laevis	0
Braunsia_vanrensburgii	0
Esterhuysenia_drepanophylla	0
Antimima_pumila	0
Deilanthe_peersii	0
Jacobsenia_kolbei	0
