species	state
645	Saurauia_pittieri	0
646	Saurauia_parviflora	0
647	Saurauia_bullosa	0
648	Saurauia_choriophylla	0
649	Saurauia_polyneura	0
650	Saurauia_napaulensis	0
651	Saurauia_subspinosa	0
652	Saurauia_malayana	0
653	Saurauia_conferta	0
654	Saurauia_macrotricha	0
655	Saurauia_roxburghii	0
656	Saurauia_fasciculata	0
657	Saurauia_tristyla	0
658	Saurauia_novoguineensis	0
659	Saurauia_ferox	0
660	Saurauia_tewensis	0
661	Saurauia_leprosa	0
662	Saurauia_pentapetala	0
663	Roridula_gorgonias	2
664	Symplocos_pycnantha	0
665	Cordyloblaste_henschelii	0
666	Styrax_carranzae	0
667	Rehderodendron_kwangtungense	0
668	Perkinsiodendron_macgregorii	0
669	Pterostyrax_hispidus	0
670	Halesia_diptera	0
671	Changiostyrax_dolichocarpus	0
672	Melliodendron_xylocarpum	0
673	Sinojackia_microcarpa	0
674	Bruinsmia_styracoides	0
675	Alniphyllum_fortunei	0
676	Huodendron_tibeticum	0
677	Diapensia_lapponica	0
678	Schizocodon_ilicifolius	0
679	Shortia_galacifolia	0
680	Berneuxia_thibetica	0
681	Pyxidanthera_barbulata	0
682	Galax_urceolata	0
683	Primula_warshenewskiana	0
684	Dionysia_mira	0
685	Androsace_umbellata	0
686	Dodecatheon_meadia	0
687	Soldanella_villosa	0
688	Hottonia_inflata	0
689	Omphalogramma_vinciflorum	0
690	Douglasia_alaskana	0
691	Pomatosace_filicula	0
692	Lysimachia_maritima	0
693	Cyclamen_cilicium	0
694	Badula_balfouriana	0
695	Oncostemum_palmiforme	0
696	Sadiria_aberrans	0
697	Ardisia_guianensis	0
698	Embelia_parviflora	0
699	Myrsine_platystigma	0
700	Cybianthus_peruvianus	0
701	Pleiomeris_canariensis	0
702	Heberdenia_excelsa	0
703	Monoporus_bipinnatus	0
704	Aegiceras_corniculatum	0
705	Samolus_spathulatus	0
706	Bonellia_stenophylla	0
707	Jacquinia_aculeata	0
708	Clavija_domingensis	0
709	Theophrasta_americana	0
710	Maesa_salicifolia	0
711	Diospyros_mun	0
712	Euclea_undulata	0
713	Lissocarpa_guianensis	0
714	Eschweilera_subglandulosa	0
715	Lecythis_confertiflora	0
716	Corythophora_rimosa	0
717	Bertholletia_excelsa	0
718	Couratari_stellata	0
719	Allantoma_lineata	0
720	Couroupita_guianensis	0
721	Gustavia_grandibracteata	0
722	Grias_peruviana	0
723	Barringtonia_asiatica	0
724	Chydenanthus_excelsus	0
725	Petersianthus_macrocarpus	0
726	Careya_arborea	0
727	Oubanguia_alata	0
728	Scytopetalum_klaineanum	0
729	Napoleonaea_talbotii	0
730	Pouteria_eugeniifolia	0
731	Chromolucuma_apiculata	0
732	Chrysophyllum_cuneifolium	0
733	Pradosia_ptychandra	0
734	Diploon_cuspidatum	0
735	Sarcaulus_brasiliensis	0
736	Elaeoluma_glabrescens	0
737	Aubregrinia_taiensis	0
738	Ecclinusa_lanceolata	0
739	Synsepalum_stipulatum	0
740	Micropholis_longipedicellata	0
741	Planchonella_brevipedicellata	0
742	Pleioluma_papyracea	0
743	Pycnandra_paucinervia	0
744	Pichonia_balansae	0
745	Niemeyera_whitei	0
746	Amorphospermum_antilogum	0
747	Sersalisia_luzoniensis	0
748	Van-Royena_castanosperma	0
749	Madhuca_macrophylla	0
750	Donella_bangweolensis	0
751	Aningeria_adolfi-friederici	0
752	Magodendron_mennyae	0
753	Breviea_sericea	0
754	Delpydora_macrophylla	0
755	Neohemsleya_usambarensis	0
756	Englerophytum_natalense	0
757	Omphalocarpum_strombocarpum	0
758	Xantolis_siamensis	0
759	Sideroxylon_oxyacantha	0
760	Manilkara_bequaertii	0
761	Letestua_durissima	0
762	Labourdonnaisia_madagascariensis	0
763	Faucherea_thouvenotii	0
764	Labramia_costata	0
765	Autranella_congolensis	0
766	Mimusops_laurifolia	0
767	Tieghemella_heckelii	0
768	Vitellariopsis_dispar	0
769	Vitellaria_paradoxa	0
770	Baillonella_toxisperma	0
771	Inhambanella_henriquesii	0
772	Burckella_pachyphylla	0
773	Payena_leerii	0
774	Diploknema_butyracea	0
775	Isonandra_lanceolata	0
776	Aulandra_longifolia	0
777	Palaquium_impressinervium	0
778	Capurodendron_greveanum	0
779	Bemangidia_lowryi	0
780	Northia_seychellana	0
781	Tsebona_macrantha	0
782	Lecomtedoxa_klaineana	0
783	Neolemonniera_clitandrifolia	0
784	Argania_spinosa	0
785	Eberhardtia_aurata	0
786	Sarcosperma_kachinense	0
787	Camellia_pachyandra	0
788	Adinandra_acuminata	0
789	Polyspora_hainanensis	0
790	Apterosperma_oblata	0
791	Pyrenaria_diospyricarpa	0
792	Gordonia_fruticosa	0
793	Schima_noronhae	0
794	Franklinia_alatamaha	0
795	Stewartia_sichuanensis	0
796	Phlox_gracilis	0
797	Leptosiphon_ciliatus	0
798	Gymnosteris_parvula	0
799	Linanthus_inyoensis	0
800	Maculigilia_maculata	0
801	Polemonium_foliosissimum	0
802	Navarretia_tagetina	0
803	Allophyllum_capillare	0
804	Collomia_mazama	0
805	Collomiastrum_debile	0
806	Gilia_stellata	0
807	Lathrocasis_tenerrima	0
808	Saltugilia_australis	0
809	Ipomopsis_polycladon	0
810	Bryantiella_palmeri	0
811	Eriastrum_eremicum	0
812	Loeseliastrum_depressum	0
813	Langloisia_setosissima	0
814	Microgilia_minutiflora	0
815	Dayia_grantii	0
816	Aliciella_micromeria	0
817	Giliastrum_purpusii	0
818	Cantua_pyrifolia	0
819	Cobaea_scandens	0
820	Bonplandia_geminiflora	0
821	Acanthogilia_gloriosa	0
822	Fouquieria_diguetii	0
823	Echinopsis_mamillosa	0
824	Weberbauerocereus_albus	0
825	Denmoza_rhodacantha	0
826	Harrisia_adscendens	0
827	Cephalocleistocactus_ritteri	0
